ID,GO
PBANKA_0902400,GO:0003777
PBANKA_1113500,GO:0007264
PBANKA_0831200,GO:0035556
PBANKA_0511200,GO:0005634
PBANKA_1141300,GO:0006546
PBANKA_1141700,GO:0003735
PBANKA_0717600,GO:0004017
PBANKA_1229500,GO:0003677
PBANKA_1359200,GO:0005737
PBANKA_1235300,GO:0008796
PBANKA_1410900,GO:0003743
PBANKA_0807700,GO:0003777
PBANKA_0707300,GO:0010484
PBANKA_1227200,GO:0006457
PBANKA_1338900,GO:0070258
PBANKA_1234100,GO:0048034
PBANKA_1440700,GO:0004839
PBANKA_1225500,GO:0007050
PBANKA_0928500,GO:0005524
PBANKA_0610500,GO:0055114
PBANKA_1438100,GO:0006998
PBANKA_1120000,GO:0016987
PBANKA_1023200,GO:0005681
PBANKA_1432800,GO:0034462
PBANKA_0938400,GO:0005783
PBANKA_0518700,GO:0006431
PBANKA_1105500,GO:0051082
PBANKA_1354400,GO:0003735
PBANKA_0718100,GO:0070681
PBANKA_0112200,GO:0016459
PBANKA_0815200,GO:0016746
PBANKA_1459500,GO:0005509
PBANKA_1109400,GO:0048015
PBANKA_0102000,GO:0005524
PBANKA_0412400,GO:0008270
PBANKA_0107700,GO:0046873
PBANKA_1364800,GO:0055085
PBANKA_0613400,GO:0006412
PBANKA_1025600,GO:0003824
PBANKA_1014000,GO:0004354
PBANKA_0828600,GO:0004129
PBANKA_0603500,GO:0003824
PBANKA_1429900,GO:0005783
PBANKA_1203300,GO:0006431
PBANKA_1023900,GO:0004364
PBANKA_0912300,GO:0003712
PBANKA_0826800,GO:0006468
PBANKA_0805400,GO:0006351
PBANKA_1212300,GO:0044237
PBANKA_1210300,GO:0006788
PBANKA_0827200,GO:0016021
PBANKA_0903900,GO:0006886
PBANKA_1210100,GO:0003684
PBANKA_0302500,GO:0022891
PBANKA_1234200,GO:0006412
PBANKA_1338600,GO:0006412
PBANKA_0803000,GO:0000808
PBANKA_1216400,GO:0016887
