ID,GO
PF3D7_0804400,GO:0020011
PF3D7_1419800,GO:0006979
PF3D7_0316900,GO:0020011
PF3D7_1101800,GO:0031072
PF3D7_0933900,GO:0005737
PF3D7_0621800,GO:0051083
PF3D7_1328500,GO:0016787
PF3D7_0406700,GO:0005524
PF3D7_0303700,GO:0008152
PF3D7_1348800,GO:0008152
PF3D7_1317100,GO:0003678
PF3D7_0516300,GO:0009982
PF3D7_0722500,GO:0008380
PF3D7_1304200,GO:0055085
PF3D7_1010900,GO:0005524
PF3D7_1416900,GO:0016272
PF3D7_1343300,GO:0000076
PF3D7_1309300,GO:0000398
PF3D7_0619900,GO:0005634
PF3D7_1470100,GO:0016020
PF3D7_0723900,GO:0006417
PF3D7_1140300,GO:0006974
PF3D7_0104200,GO:0044164
PF3D7_1311300,GO:0046933
PF3D7_1477200,GO:0016020
PF3D7_0106500,GO:0016740
PF3D7_1123400,GO:0003746
PF3D7_1231600,GO:0005524
PF3D7_1034900,GO:0004825
PF3D7_0525000,GO:0003676
PF3D7_1339300,GO:0005634
PF3D7_1303200,GO:0016192
PF3D7_1040500,GO:0020002
PF3D7_1461300,GO:0006412
PF3D7_1440400,GO:0008270
PF3D7_1346000,GO:0016020
PF3D7_1200400,GO:0016337
PF3D7_1017100,GO:1990225
PF3D7_1300300,GO:0016021
PF3D7_0304500,GO:0009055
PF3D7_0724500,GO:0005737
PF3D7_1011900,GO:0006788
PF3D7_0901400,GO:0020035
PF3D7_0930300,GO:0016020
PF3D7_1475800,GO:0016020
PF3D7_0935900,GO:0005737
PF3D7_0414700,GO:0020011
PF3D7_0103200,GO:0005345
PF3D7_0722600,GO:0032040
PF3D7_1405600,GO:0004748
PF3D7_1345200,GO:0016021
PF3D7_1005900,GO:0005737
PF3D7_1426900,GO:0006122
PF3D7_1123100,GO:0004672
PF3D7_1027100,GO:0005732
PF3D7_1320600,GO:0005829
PF3D7_1204300,GO:0045901
PF3D7_1444500,GO:0006468
PF3D7_1349200,GO:0006424
PF3D7_1025300,GO:0020011
PF3D7_1411300,GO:0005524
PF3D7_1245100,GO:0003774
PF3D7_1322400,GO:0000166
PF3D7_1146700,GO:0007018
PF3D7_1122900,GO:0016887
PF3D7_1011800,GO:0003723
PF3D7_1353800,GO:0006511
PF3D7_1215700,GO:0003684
mal_mito_3,GO:0016020
PF3D7_0701500,GO:0020036
